"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","center_image","right_image","target_label","target_side","correct_response","background","correct"
"","audio-button-response-flexiblelocations","49","1361366","0.0-49.0","4977","stimuli/sounds/find_gasser.wav","2","nov10_square","","nov9_square","gasser_red","right","2","black-background","true"
"","audio-button-response-flexiblelocations","50","1365546","0.0-50.0","3677","stimuli/sounds/find_posk.wav","0","nov8_square","","nov7_square","posk_blue","left","0","black-background","true"
"","audio-button-response-flexiblelocations","51","1372768","0.0-51.0","6718","stimuli/sounds/where_roke.wav","0","nov10_square","","nov7_square","roke_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","52","1377699","0.0-52.0","4427","stimuli/sounds/find_shoe.wav","2","ball_square","","shoe_square","shoe","right","2","black-background","true"
"","audio-button-response-flexiblelocations","53","1384750","0.0-53.0","6548","stimuli/sounds/find_vab.wav","0","nov10_square","","nov9_square","vab_blue","left","0","black-background","true"
"","audio-button-response-flexiblelocations","54","1389368","0.0-54.0","4114","stimuli/sounds/where_smope.wav","2","nov7_square","","nov8_square","smope_red","right","2","black-background","true"
"","audio-button-response-flexiblelocations","55","1399791","0.0-55.0","9917","stimuli/sounds/where_teebu.wav","0","nov8_square","","nov9_square","teebu_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","56","1406119","0.0-56.0","5825","stimuli/sounds/where_fisp.wav","0","nov10_square","","nov7_square","fisp_red","left","0","black-background","true"
"","audio-button-response-flexiblelocations","57","1411125","0.0-57.0","null","stimuli/sounds/amazingjob.wav","null","LballoonsBlack","black","RballoonsBlack","AG","center","1","black-background","false"
"","audio-button-response-flexiblelocations","58","1421068","0.0-58.0","9438","stimuli/sounds/whoknowsmore.wav","2","girl1","","girl2","redspeaker","left","0","black-background","false"
"","audio-button-response-flexiblelocations","59","1424638","0.0-59.0","3065","stimuli/sounds/whoknowsmore.wav","2","girl1","","girl2","bluespeaker","right","2","black-background","true"
"","audio-button-response-flexiblelocations","60","1432388","0.0-60.0","7245","stimuli/sounds/whoknows_bluetoys.wav","0","girl1","","girl2","bluespeaker","left","2","black-background","false"
"","audio-button-response-flexiblelocations","61","1435804","0.0-61.0","2913","stimuli/sounds/whoknows_redtoys.wav","2","girl1","","girl2","redspeaker","right","0","black-background","false"
"","audio-button-response-flexiblelocations","62","1440810","0.0-62.0","null","stimuli/sounds/alldone.wav","null","LbeachBlack","black","RbeachBlack","AG","center","1","black-background","false"
"true","fullscreen","63","1442315","0.0-63.0","","","","","","","","","","",""
