"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","right_image","target_label","target_side","correct_response","background","correct","center_image"
"","audio-button-response-flexiblelocations","45","872013","0.0-45.0","2128","stimuli/sounds/where_sadface.wav","2","happyface_square","sadface_square","sad","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","46","874515","0.0-46.0","1999","stimuli/sounds/where_ball.wav","2","truck_square","ball_square","ball","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","47","879520","0.0-47.0","null","stimuli/sounds/goodjob.wav","null","LfireworksBlack","RfireworksBlack","AG","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","48","886026","0.0-48.0","null","stimuli/sounds/hear_again.wav","null","girl1","girl2","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","49","892531","0.0-49.0","null","stimuli/sounds/2itthat_posk.wav","null","girl1gray","girl2outline","posk_blue","right","2","black-background","false","nov8_circle"
"","audio-button-response-flexiblelocations","50","899036","0.0-50.0","null","stimuli/sounds/1itsee_smope.wav","null","girl1outline","girl2gray","smope_red","left","0","black-background","false","nov8_circle"
"","audio-button-response-flexiblelocations","51","905542","0.0-51.0","null","stimuli/sounds/1seeit_dax.wav","null","girl1outline","girl2gray","dax_red","left","0","black-background","false","nov7_circle"
"","audio-button-response-flexiblelocations","52","912047","0.0-52.0","null","stimuli/sounds/2thatsee_roke.wav","null","girl1gray","girl2outline","roke_blue","right","2","black-background","false","nov7_circle"
"","audio-button-response-flexiblelocations","53","918552","0.0-53.0","null","stimuli/sounds/1thatsee_fisp.wav","null","girl1outline","girl2gray","fisp_red","left","0","black-background","false","nov10_circle"
"","audio-button-response-flexiblelocations","54","925056","0.0-54.0","null","stimuli/sounds/2seeit_vab.wav","null","girl1gray","girl2outline","vab_blue","right","2","black-background","false","nov10_circle"
"","audio-button-response-flexiblelocations","55","931561","0.0-55.0","null","stimuli/sounds/2seethat_teebu.wav","null","girl1gray","girl2outline","teebu_blue","right","2","black-background","false","nov9_circle"
"","audio-button-response-flexiblelocations","56","938066","0.0-56.0","null","stimuli/sounds/1thatit_gasser.wav","null","girl1outline","girl2gray","gasser_red","left","0","black-background","false","nov9_circle"
"","audio-button-response-flexiblelocations","57","944570","0.0-57.0","5226","stimuli/sounds/amazingwork.wav","0","blank_square","blank_square","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","58","947431","0.0-58.0","2356","stimuli/sounds/where_ball.wav","0","ball_square","truck_square","ball","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","59","955035","0.0-59.0","7099","stimuli/sounds/find_dax.wav","0","nov7_square","nov8_square","dax_red","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","60","958919","0.0-60.0","3379","stimuli/sounds/find_gasser.wav","2","nov10_square","nov9_square","gasser_red","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","61","961897","0.0-61.0","2475","stimuli/sounds/find_posk.wav","2","nov8_square","nov7_square","posk_blue","left","0","black-background","false",""
"","audio-button-response-flexiblelocations","62","964723","0.0-62.0","2323","stimuli/sounds/where_roke.wav","0","nov10_square","nov7_square","roke_blue","right","2","black-background","false",""
"","audio-button-response-flexiblelocations","63","967791","0.0-63.0","2563","stimuli/sounds/find_vab.wav","2","nov10_square","nov9_square","vab_blue","left","0","black-background","false",""
"","audio-button-response-flexiblelocations","64","971816","0.0-64.0","3522","stimuli/sounds/where_smope.wav","0","nov7_square","nov8_square","smope_red","right","2","black-background","false",""
