"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","center_image","right_image","target_label","target_side","correct_response","background","correct"
"true","fullscreen","0","2386881","0.0-0.0","","","","","","","","","","",""
"","audio-button-response-flexiblelocations","1","2393784","0.0-1.0","null","stimuli/sounds/meetnewfriends.wav","null","girl1","black","girl2","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","2","2400290","0.0-2.0","null","stimuli/sounds/hi_olivia.wav","null","girl1outline","black","girl2gray","red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","3","2406796","0.0-3.0","null","stimuli/sounds/hi_emily.wav","null","girl1gray","black","girl2outline","blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","4","2418147","0.0-4.0","10848","stimuli/sounds/1lookatme.wav","0","girl1outline","","girl2gray","red","left","0","black-background","true"
"","audio-button-response-flexiblelocations","5","2424421","0.0-5.0","5769","stimuli/sounds/2lookatme.wav","2","girl1gray","","girl2outline","blue","right","2","black-background","true"
"","audio-button-response-flexiblelocations","6","2430926","0.0-6.0","null","stimuli/sounds/listen_toys.wav","null","girl1","black","girl2","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","7","2437432","0.0-7.0","null","stimuli/sounds/1itthat_ball.wav","null","girl1outline","ball_circle","girl2gray","ball_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","8","2443938","0.0-8.0","null","stimuli/sounds/2itsee_ball.wav","null","girl1gray","ball_circle","girl2outline","ball_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","9","2450445","0.0-9.0","null","stimuli/sounds/1seethat_truck.wav","null","girl1outline","truck_circle","girl2gray","truck_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","10","2456951","0.0-10.0","null","stimuli/sounds/2thatit_truck.wav","null","girl1gray","truck_circle","girl2outline","truck_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","11","2463456","0.0-11.0","null","stimuli/sounds/great_click.wav","null","blank_square","black","blank_square","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","12","2470812","0.0-12.0","6848","stimuli/sounds/find_truck.wav","0","truck_square","","ball_square","truck","left","0","black-background","true"
"","audio-button-response-flexiblelocations","13","2477372","0.0-13.0","6055","stimuli/sounds/where_ball.wav","2","truck_square","","ball_square","ball","right","2","black-background","true"
"","audio-button-response-flexiblelocations","14","2482381","0.0-14.0","null","stimuli/sounds/nicework.wav","null","LfireworksBlack","black","RfireworksBlack","AG","center","1","black-background","false"
"","audio-button-response-flexiblelocations","15","2488888","0.0-15.0","null","stimuli/sounds/newtoys_listen.wav","null","girl1","black","girl2","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","16","2495394","0.0-16.0","null","stimuli/sounds/1thatsee_tanzer.wav","null","girl1outline","nov1_circle","girl2gray","tanzer_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","17","2501901","0.0-17.0","null","stimuli/sounds/2dontknow.wav","null","girl1gray","nov1_circle","girl2outline","tanzer_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","18","2508410","0.0-18.0","null","stimuli/sounds/2thatit_bosa.wav","null","girl1gray","nov2_circle","girl2outline","bosa_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","19","2514918","0.0-19.0","null","stimuli/sounds/1haventseen.wav","null","girl1outline","nov2_circle","girl2gray","bosa_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","20","2521425","0.0-20.0","null","stimuli/sounds/1seeit_cheem.wav","null","girl1outline","nov3_circle","girl2gray","cheem_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","21","2527931","0.0-21.0","null","stimuli/sounds/2haventseen.wav","null","girl1gray","nov3_circle","girl2outline","cheem_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","22","2534437","0.0-22.0","null","stimuli/sounds/2seethat_noop.wav","null","girl1gray","nov4_circle","girl2outline","noop_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","23","2540943","0.0-23.0","null","stimuli/sounds/1dontknow.wav","null","girl1outline","nov4_circle","girl2gray","noop_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","24","2547450","0.0-24.0","null","stimuli/sounds/1itthat_akar.wav","null","girl1outline","nov5_circle","girl2gray","akar_red","left","0","black-background","false"
